text,actual,predicted
Our unit growth has been strong and that's primarily attributable to our Prime program and the customers and members that enjoy that program.,premise,claim
"So I feel good about all that, but we have a long way to go.",claim,premise
"And so, we're working very hard to -- at the -- but at the very beginning of the ramp there.",claim,premise
"We’re, I think, in a much stronger place in elections now.",claim,claim
So I think we'll continue to iterate on those and try to find different areas.,claim,claim
It exceeded our - even our expectations.,claim,claim
There are people who will have a social budget or a digital budget.,premise,premise
"We definitely are seeing one-for-one migration, but the opportunity in everyone one of our offerings from Office 365 to Dynamics to Azure has a non-zero-sum component to it.",claim,claim
"And so that’s a good example to say, every three years tends to be the length of our agreements and so you to tend to see that repeated, and that’s what we mean by sort of the record or the largest expiry base and that is the pattern.",claim,claim
"We’re not hanging numbers out there to be measured on at this point, but we don’t do a lot of big partnerships as you probably know.",premise,claim
"So you'll see devices, you see video content.",premise,premise
It's just we've had to add some resources on our own.,premise,premise
"If you're a customer that your last purchase was a 6s or 6 or in some cases even a 7, you may have paid $199 for – and now in an unbundled world it's obviously much more than that.",premise,claim
I do believe that every conversation that we're having with customers is cloud-led.,claim,claim
"On cannibalization, of course we've got limited experience",claim,claim
"And then we've got the FX situation, which I mentioned before, which is worth another 60 bps, 70 bps.",premise,claim
"So that will always be an important part of our Prime offer, and we'll continue to use the data that we have to make better and better decisions about where to invest our dollars in Prime Video.",premise,claim
The 86% also seems low to me but I was quoting a third-party source and not our own data.,claim,claim
A plus is that more and more people have already joined upgrade programs.,premise,premise
"And these are modules that there isn't an installed base of those anywhere, no competition even exist.",premise,claim
"And I think that's a very exciting opportunity ahead, and that's one of the reasons that I'm very optimistic about the Watch growth that we've started to see recently up about 3x in the last few months in the U.S. alone.",claim,claim
"What I mean that is that 27% seat growth is starting to include some lower ARPU seats that Satya just mentioned whether that's in academic, in edu, in front-line workers and that's really important for us to keep having that seat growth even if it’s not at the same ARPU level those are not seats that we ever could reach before at any level and that's absolutely new opportunity for us.",claim,claim
"And as I mentioned, it’s one of the factors driving an increasing inventory.",premise,claim
"First, even for the customers who are already on Office 365 at any given licensing level, we focus quite a bit on their increased usage and intensity.",premise,premise
"Once we start getting a bit further along with that, then the next thing that we think is going to be huge is video and immersive experiences, both things that people can create, like the social content that they share on Facebook today, and more professional and premium content both short form and longer form.",claim,claim
We'll see more cost in Q3.,claim,claim
"And then of course, I think that search is often driven by what unique content is in a system and not just the ability to find it.",claim,claim
"And I think in the last six months or a year alone, there have been hundreds, if not thousands, of cases where we're we've been able to get first responders to people when they needed help",claim,claim
So what we're seeing so far is that a bunch of the content that has come onto Watch is good and is working and people watch it.,premise,claim
We're confidently we were near but just above our $800 million estimate in Q2.,premise,claim
"This year – we're not going to release this number every quarter, but we've obviously grown again.",premise,claim
A lot of what we're trying to do here is not just about getting content off Facebook.,claim,premise
"We have decided to make some purchasing decision, given current market conditions, and that should unwind over time.",claim,claim
That's a way to expand seats even beyond what is the traditional knowledge worker.,premise,claim
And they started running video ads in Facebook Stories and News Feed.,premise,claim
But it is easier and free to start a Facebook page until you see broad adoption.,premise,claim
Essentially over 80% of the commerce on tablets are taking place on iPad.,premise,claim
We see many customers who would use even our PaaS services and even AWS.,premise,premise
"But overall, there's a lot of stuff in the space.",claim,claim
We are continuing to invest meaningfully in digitizing those say MSMBs micro-small and medium-sized businesses.,claim,claim
"In the medium to long run, we believe we compare very favorably with any other spend we can do",claim,claim
But that’s about $100 million impact that we would not have seen before that.,premise,claim
"And we do a tremendous amount of marketing for developers, including the new Today Editorial that we just started in the past few months, personal recommendations, search tools, and so on and so forth.",claim,premise
We're very fortunate and work very hard to have loyal customers and to continue attracting an impressive number of switchers.,claim,claim
We are making it easier all the time.,premise,claim
And that's where we have a lot of work to do.,claim,claim
"It's not due to any change in our aspiration or belief in the growth curve of revenue, and I wanted to be clear on that.",claim,claim
"but also about helping people when they're in need on the platform, and we take that very, very seriously.",premise,claim
You can tier SQL databases with the cloud.,premise,claim
And so we've got lots in front of us and we're very excited about getting these out there.,claim,claim
But the general drivers continues to be Prime and the Prime flywheel.,claim,claim
So we're very excited about what we're seeing there.,claim,claim
"But the growth was down 2% on a dollar basis, up 14% on local currency basis.",premise,claim
"And if anything, we're finding new opportunities to invest in.",premise,claim
So that was pretty much in line with what we were anticipating,premise,premise
"In terms of resellers, we think it's a big opportunity.",claim,claim
"And this is a different approach than we would’ve taken a few years ago, right?",premise,claim
"And so I look around, I see opportunity left and right.",claim,claim
We added technical resources.,premise,claim
"But I would expect that that will mostly come and affect the business through as those products that we build help businesses convert better, they’ll – it will be more valuable to them and therefore that’ll translate into higher bids for the advertising and that’ll be how we see it.",claim,claim
"On the specific report on this study, the study was conducted by a former employee with very incomplete data.",premise,claim
"On the restaurant delivery, it's just another great service we can offer for our Prime members.",premise,claim
"I think the specific ads will be part of how we do that, but it won't be the only way.",claim,claim
I look at my own usage of one note in Surface.,premise,premise
"So, really Q4 wasn’t just renewal activity, it was also new workloads and new value.",claim,claim
"Whether you're a public figure that is using it to hold a town hall or interact with a lot of people at the same time, or you're hanging out with your friends by going live and you have 10 people who are just there with you chatting with you while you're doing something, going about throughout your day, it's not the kind of traditional video experience; it's actually a more social experience.",premise,claim
"And so these kind of numbers, along with intent to buy numbers, everything looks fantastic, the ecommerce numbers.",claim,claim
"Now today, we don't have to wait for someone to report it a lot of the time.",premise,claim
So that flywheel is working.,premise,claim
"One of the things that we emphasize is it's not about our technology, but it's our ability to transfer that capability to our customer because they're increasingly becoming, whether you're in retail or you're in oil and gas or you're in financial services, every one of them is trying to build their own software capability and we are uniquely capable of doing so.",premise,claim
But across all of the different types of content issues of people trying to spread hate or incite violence.,premise,premise
We also make a lot of things that they couldn't do in other platforms available on us.,claim,claim
"As you know, foreign exchange has been a very significant headwind over the last three-plus years, but we've been able to manage that.",premise,premise
"FBA becomes very important as well and we've talked about some of the tailwinds we see there, and sort of the linkage between marketplace and Prime that FBA provides.",claim,premise
"So in shopping in general, we do see a lot of interest in our apps and shopping.",premise,premise
"Many times they start with subscale volumes and you build them out, you get more efficient, you get more volume, more package density and that creates efficiency.",premise,claim
"But what Mark alluded to was video is where people – as networks improve and devices improve and our products improve, video is the most engaging experience that we can offer.",premise,claim
"This year, we took Prime subscription revenue and amortized it over the quarters on a straight line method.",premise,claim
"Yes, Audience Network is important to us",claim,claim
And that will be very valuable for businesses.,claim,claim
It's getting smarter and more capable.,premise,claim
"So there'll be an incremental differential in Q1 on those price cuts, but this is something that we again have quite frequently and I don't think it's a large factor in Q1.",claim,claim
"And that has allowed us to really increase the amount of video that people are watching without getting in the way of the core mission of what we do, which is helping people interact.",premise,claim
It's about building great products and delighting customers.,premise,claim
"As I said, the vast majority or the majority of the growth that we're seeing in sharing is coming from private messaging and story sharing.",premise,claim
And so it's an incredible market.,premise,claim
So we're very focused on creative tools.,claim,claim
"On video, yeah, right now the strength in our system is definitely through helping people discover content that they hadn't really asked for through News Feed.",premise,claim
"With the major currency changes we saw in Q2, we've also done some price adjustments between certain geos for us.",premise,claim
"But I think as I said or Tim said during the prepared remarks, we do expect iPhone ASP to improve sequentially as we move into the September quarter",claim,claim
We face a very wide range of issues here from really hard technological problems to issues scaling large organizations to of course a lot of now major regulatory and social issues and having different people or different perspectives can help us navigate that and provide both advice and oversight to make sure that we're doing a good job is really important.,premise,claim
And developed markets are where we see the most transactional business with Consumer Office that impacts in quarter.,premise,claim
We've been pretty consistent during the last five years.,claim,premise
"Literally, the customer sat for the iPad Pro is 99%.",premise,claim
And so all of those I think bode well.,claim,claim
"So if you think back to how we've talked about the long term, the lifetime value equation, it's those components that I really think about proving out over time, and we had lots of encouraging signs about that.",claim,claim
"Those movements actually and as we help customers transform, it's really the best plan in the face of any uncertainty, which you're clearly asking me about.",premise,claim
What I can say is that if you adjust for foreign exchange the operating margin is up slightly both sequentially and year-over-year.,premise,claim
"So, very pleased with Q4 and the pace of the business.",claim,claim
And whether product is a retail offering or third-party offering is not that important to us.,premise,claim
"As you know, there is game playing and game watching and there is secular growth on both fronts.",premise,premise
"The issue is that enterprises, generally speaking are only deploying iPads to a small percentage of their workforce.",premise,claim
"During the Prime Day, we had some unique deals for Prime customers at Whole Foods.",premise,claim
"So we're continuing to invest in that work, and we think it's the right thing for the Facebook community in the long run.",premise,claim
"And just kind of having something that's appealing universally to people wanting to stay connected with their friends, that's an important piece of it.",premise,premise
"So what we're seeing is the results we're able to deliver on Facebook and Instagram, a lot of our marketing partners want more.",premise,claim
"And then yes, I do think that there are less impressions when people are consuming video, so that also is a factor as more time is spent on videos.",claim,claim
"You remember that we are lapping a number of large price decreases in Q2 of last year,",premise,premise
There are some elements that we understand quite well and we tend to manage well over the course of the cycle.,claim,premise
"It's grown a lot because, as you said, the installed base has grown, but also because we have made a number of changes that have made it easier for our customers around the world to participate on the App Store and be able to transact on the App Store.",premise,claim
"Office has obviously had very, very successful individual products that have been deployed broadly, but each of them was a singular tool.",premise,premise
"I would say in the short run, it's also expanding and increasing our speed on all of our orders quite frankly.",claim,claim
"The other one is what I talked about in the Enterprise Mobility Suite, that's really got fantastic momentum in the marketplace because the solution has really come together and is fairly unique, as well as Dynamic CRM.",premise,claim
"Keep in mind that this year had 13 weeks, last year had 14 weeks.",premise,premise
You can build your cart using Alexa and then check out using the Prime Now app.,premise,claim
"And so we're investing, and the number one thing is to make sure our products work well with other developers' products like Pokémon.",claim,claim
So that's another opportunity that we believe will shape in addition to things like e-sports and so on.,claim,claim
"Now looking forward, the response to the iPhone 7 and 7 Plus has been very positive.",claim,claim
And it's – this is one of the things that I think will create a lot of value for people discovering and interacting with businesses.,claim,claim
"But quite frankly if you sort of looked at what’s broadly happening in the Cloud transition, we are participating in both the private hybrid Cloud as well as the public Cloud.",premise,claim
So we will -- we expect it to be very valuable to customers as we add selection into that one-day category.,claim,claim
And so we couldn't be more satisfied with it.,claim,claim
Of course remember that both Apple and Google has built cameras and private photo sharing and photo management directly into their operating system.,premise,claim
"So on CapEx, we are absolutely investing in the infrastructure and 2015 is an investment year, so we are ramping CapEx versus 2014.",claim,claim
"That has had the effect of protecting our margins, which you've seen have been very strong, both in the December quarter and in the guidance that we provide for the March quarter.",claim,claim
"And we're making progress across verticals, across our large customers.",claim,claim
"From a product perspective, as we get things like Dynamic Product Ads rolled out, those are incredibly valuable.",claim,claim
Those are the killer transformation opportunities that we are seeing.,claim,claim
"That starts in Q3, but there's a number of other factors that I also pointed to, including the desktop lapping some of the efforts we made on desktop in terms of unblocking or working against the ad blocking technologies.",premise,claim
"There are differences in migration patterns that will make any quarter-to-quarter movements lumpy, as I said.",premise,claim
And there’s definitely some pricing action we were able to take,claim,claim
"I think history shows us that countries that embrace openness and diversity do much, much better than the ones that are closed.",premise,claim
"We talked about the unfavorable FX, which again is 400 basis points.",premise,claim
"They can be places where you can hang out and feel more present with people, where you can connect to different groups in different ways, interact with businesses and do payments and commerce.",premise,claim
And the third is Facebook – our own product changes.,claim,claim
"So, on the Brazil side – this is Phil – we've had the Kindle Store in Brazil for a while.",claim,premise
"And then finally, we've made our own product changes that gives users the ability to limit our use of such data signals to improve ads and other experiences.",premise,claim
"And then secondly in some markets as I had talked about in my prepared remarks, the subsidy is probably the bigger of the issues in the developed markets.",claim,claim
We have Amazon fulfilled units are still growing faster than paid units.,premise,claim
That's going to be an ongoing journey throughout the year.,premise,claim
"So we will always be evolving that, part of that involves changing fee structures, sometimes, adding new fees or subtracting old ones, part of it involves raising or lowering fees that sellers pay.",claim,claim
"We're using software and algorithms to make decisions rather than people, which we think it's more efficient and scales better and will be more accurate, especially as we insert machine learning into the decisions.",premise,claim
And again this is sequentially right.,claim,claim
We also have – we think the best stability to target and make advertising relevant for businesses and people who see ads.,premise,claim
"On the AWS side, I think the 2016 to 2015 comparison probably stands on its own and 2014 falls by the wayside, so I would encourage you to look at recent trends.",premise,claim
"If you compared male and female engineers at the same level, there was not this discrepancy.",premise,claim
"One of the great things that's also part of that, I think, you alluded to it is just Alexa, and one of the most popular features we see as you probably imagine for using those devices are just interacting with Alexa, wherever you may be is being able to listen to music.",premise,claim
but mostly because we were able to deliver this incremental value.,premise,claim
So I think that depending on what.,claim,premise
"Parts of this, we already have a strong foundation on, where WhatsApp and Messenger are strong around the world.",premise,premise
"We can – on the cost side, we run our facilities more efficiently, we can buy better, we can look to in-source some things that we may have paid externally for.",premise,claim
Advertising remained strong and was consistent growth with Q4.,claim,claim
I'm not -- we haven’t even completed the first inning yet.,claim,premise
We are excited to have acquired the Sizmek ad server and then Sizmek's dynamic creative optimization or DCO.,claim,claim
So there’s a lot of granularity that goes into thinking about how revenue will progress that ultimately it’s going to depend on the supply and demand characteristics in that given quarter when we do that and we see that we expect constant currency deceleration.,claim,claim
"So, on Stories, we've seen great progress with Stories as a format for people to share on our platforms.",claim,claim
"Phil [Schiller] was just over there opening a developer center last quarter, and so there are a ton of things going on there.",premise,premise
"And so the fact that there's so much consumer video, that gives us the opportunity to do more marketing video as well.",premise,claim
"When you see longer commitments under 606, you often have more recognition upfront.",premise,claim
"I would say that we have 23 sort centers, which allows us to control a lot more of our shipments for longer.",premise,claim
This is going to increase the amortization.,claim,claim
"We’re very focused on payments with fiat currencies as well and making it so that when you pay in one service, whether it’s WhatsApp or in Instagram Shopping or in Marketplace your credentials can be shared and there’s a shared payment system across all those things.",claim,claim
So that's something that we're very excited about building.,claim,claim
So our forecasts are based on supply and demand and how we see the different product launches playing into that different optimizations that we make.,claim,claim
"So specific to Q4, the impact of that change was an increase of approximately $1 billion to other revenue, so you will see that in the other revenue in total.",claim,claim
"And internationally, we had twice as member Prime members streaming year-over-year.",premise,claim
She was selling clothes in her living room and selling them.,premise,claim
I would characterize it as continued investments.,claim,claim
"But that, I think, is the primary focus for the foreseeable future.",premise,claim
But it could also be that you see something on Facebook and have a conversation about that in the world with someone who's meaningful to you and the next to me that we need to understand that.,premise,claim
"Last year, we added regions in the UK and Canada.",premise,claim
"And because of the successful results that we've seen in a number of elections recently, we feel like our road map and our level of preparation is much higher now than it has been.",premise,claim
And so we feel good about that.,claim,claim
We'll talk a lot more and build on that about that architecture and what we're seeing with customers.,claim,claim
"But in general, my view is very positive in terms of how things are going, and that positive view is obviously factored in our guidance as well.",claim,claim
"It's longer than an iPhone, probably between an iPhone and a PC.",claim,claim
"So we felt we could guide to a slightly narrower range, which we've done occasionally in the past.",claim,claim
"We have introduced a number of things like that for public figures, for groups, messengers, probably been the most successful; it’s something that’s connected to the Facebook experience that now has more than 800 million people using it.",premise,claim
That is how I think about it,claim,claim
"On Qualcomm, I just want to make it very, very clear that we are accruing.",premise,claim
"But to your point, Raimo, I think what has happened is the change, even in the financial services, the segments that you all represent, the kinds of workloads now that are moving to the cloud has qualitatively changed.",claim,claim
So it continues to be a really good story for us.,claim,claim
"And the residual value for iPhone tends to be the highest in the industry and many people pick up $300, $350 or so for their iPhone and so that even reduces the monthly payment less.",claim,claim
"So there are these events that are obviously big like the U.S. elections, the World Cup, Super Bowl, but there are enough of these all around the world that no one event is that big for our business.",premise,claim
"So to share an example, Garmin launched the Fenix 3 Sapphire watch, and they did it with videos ads on Facebook that worked without sound.",premise,claim
"And as you probably know, as I had reviewed earlier, the online sales were so great at the beginning, we were not able to feed inventory to our stores until mid-June.",premise,premise
"As long as it's in stock, as long as it's priced competitively.",premise,claim
and so the fact that we have so much room to grow is exciting for us.,claim,claim
"And I think over the years, we made very good trade-offs and our gross margins have been quite stable over time.",claim,claim
But Teams is -- transcends all that.,premise,claim
"But you are right that we are moving very slowly and very, very, very carefully because we want to make sure the entire experiences is right across the board before we go deeper and go broader.",claim,claim
"Next, in terms of how we thought about that impacting capital return, as you know, I think we've been and executed a significant capital return program over the past couple years, including accelerating the buyback program that I think I feel very good about at the corporate level in terms of the value it's created.",claim,claim
"We are honing the businesses that we're in and making them as efficient, as profitable as possible while also investing very pointedly and very wisely, we believe, in things that will enhance customer experience and create lasting businesses for us down the line.",claim,claim
We think there is still a great opportunity to add unique selection to – for category expansion.,claim,claim
We generally work to change the fees to make sure that the incentives are strong on both sides and we continue to have a healthy growth in third party.,claim,claim
Now people don't really move between operating systems.,premise,claim
"The way we designed Dynamics 365, both on the technology front as well as on the business model front was to get away from what I would describe as the old-school suite-based selling or suite-based building of these things, whether it's CRM or ERP or SCM.",claim,claim
Feed from a growth perspective on an impression front is more constrained given where we are with ad loads on Facebook and Instagram.,premise,claim
What we're excited about is that our business is helping people connect with things they want to buy.,claim,claim
We are always looking to not be beat on price.,claim,claim
Perhaps one of the most unique things about at least our portfolio and our innovation is that we think that it’s the mobility of the individual not the one device.,claim,claim
We are going to be getting some benefits from commodities in general and memory in particular.,claim,claim
"And also there's a range from private one-on-one type sharing to small groups, all of your friends at once, large interface communities, and then ultimately fully public.",premise,premise
"We saw some lower productivity as we were expanding rather quickly, both local capacity in the off-season also in our delivery networks.",premise,premise
And it's important to call it out because of course it's a one-off.,claim,claim
We see great opportunity there to help customers engage with our services and migrate to our products.,claim,claim
"On the video question, we're basically focused primarily on video on our own site and service, and video tends to be pretty short form content right now on Facebook because it's playing in News Feed.",claim,claim
"So, yeah, it's still early days and some of those experiments that we're doing, but we're seeing good traction on those things and we like that.",claim,claim
And of course we're going to further expand that with new SKUs and new categories that are going to become part of Office 365.,premise,claim
And I'd say the character of the engagement growth is a little bit different by region.,claim,claim
"In retail, it was quite successful.",claim,claim
"So ,and obviously we'll be working on the efficiencies of all the warehouses we have, including the ones we just started up this year.",premise,claim
It's much different than it was in 2014.,premise,claim
That's a direct response ad buy,claim,claim
"And then finally, the third bucket was about accelerating our commercial cloud lead.",premise,claim
We have Xbox LIVE; we have Office 365; we have Dynamics and Bing and that diversity is what allows us to build in fact for our own needs a cloud architecture that then can meet many more workloads and that’s working pretty well for us.,premise,claim
"We are experiencing a ramp-up, if you will, in the second half of this year particularly tied again to AWS, or excuse me, the fulfillment center spend and also the video content spend.",premise,claim
"He said we're going to look for things that are important to customers, customers love them, businesses that can grow to be a large size that can generate a high return on invested capital and are durable and can last for decades.",premise,claim
"But now you can have a small business in a country like India, buy Office 365 as a subscription service.",premise,claim
"because a lot of when people are finding videos on Facebook is you're scrolling through News Feed, you're looking at what story seems interesting to you, which is why we did the auto play videos so that rather than having to take an action, you can just start experiencing the video automatically and continue watching it if it's something that you're interested in.",premise,claim
"And I think maybe, I should have also mentioned, when you think about seeing that type of performance and Satya mentioned it is not just because of work done this quarter, it is a great point, but it’s also the investments we’ve made.",claim,claim
"So the issue is not that, and it’s not a market share number,",claim,premise
"Every server product of ours has cloud enrollment right, whether it be SQL, whether it be Windows Server, and you'll see that increasingly, even in this next wave of servers.",premise,claim
"As I mentioned, I think to Toni, we have higher cost structures every time we launch new products.",premise,claim
"And so it's difficult sometimes to get a read over exactly what's happening in the market, but given the industry numbers that we've seen, it's clear that we picked up global market share and picked up market share in several countries, not only iPhone, but iPad as well.",claim,claim
"On the advertising business, or rather I should say other revenue that line item grew about 41% year-over-year.",premise,claim
"So, we feel that we are in good shape there.",claim,claim
We do feel very good about a new and very engaging opportunity for ads.,claim,claim
"And so that -- when you have that kind of first time buyer rates, you don’t have a saturated market.",premise,premise
You'll see even this quarter we started to have greater expansion of our grocery delivery out of Whole Foods using Prime Now.,claim,claim
"I think we're learning and are a very data interested company and working with a lot of great brands to be able to develop better toolkits for them, understand what types of metrics they want to make them more successful based on what they're telling us.",claim,claim
We are going through a period where now it's mostly visual and photos.,premise,claim
People like it.,premise,claim
"Our growth rates are good, really good by most people's expectations, maybe not mine as much.",claim,claim
"We had especially strong growth in APAC and the U.S. and Canada, so that was part of the growth.",premise,claim
One is just the format.,claim,claim
And one of the ways I talk to people about it is just ask what percentage of the ads do you see in your feed are as good as the very best posts you see from friends.,premise,claim
And I will also say that we are – not all of our investments are on the consumer side.,premise,claim
Are we penetrating segments and you also saw that in the quarter.,premise,claim
They ran a video ad campaign across Facebook and Instagram Stories and they targeted people with dog-related interests and used Custom Audiences to exclude people who had already purchased their product.,premise,claim
"So, we are growing at very, very healthy levels okay.",claim,claim
"Because those of a long-term contracts relationships we want to have with our customers be it consumer, be it small business or large customers.",premise,claim
There's lots of fantastic people here and they're doing unbelievable things.,claim,claim
"As you may know, we have three physical bookstores, one Seattle, one in San Diego and one in Portland and two more coming, one in Boston and one in Chicago.",premise,premise
"Of course, it's relevant in recruiting, it's relevant in training, it's relevant in marketing.",premise,claim
"On the price reduction question, we've got a long track record of driving costs out of the business and you can certainly see where we've even done that over the last several quarters if you look at the margins in AWS.",claim,claim
"And what happens is that from Facebook or Instagram Feed or from Facebook, Instagram or Messenger Stories, you can click-to-message a business on Messenger or WhatsApp.",premise,claim
Facebook is really the new town hall.,claim,claim
We see China as a – and the way we're approaching China as a way to – a trusted avenue for our Chinese customers to access authentic international brands and we'll focus on those global brands and bringing those to Chinese customers.,premise,claim
We're in a very fortunate position that we generate cash beyond the needs that we have.,premise,claim
"So yes, continue to see growth in programs for both sellers -- for our sellers and delivery partners.",claim,claim
"And so by everything I can see, we did extremely well.",claim,claim
And so these numbers are not numbers that you would get if the market were saturated.,claim,claim
It's now a multibillion-dollar program and growing very quickly.,claim,claim
"If you saw our shareholder letter this year, I think Jeff Bezos put it really well.",premise,claim
I actually didn't think of it as a significant change in trajectory from what we expected.,claim,premise
"So, overall, I think there's no question this last fiscal year has been an absolute breakout year for Teams in terms of both the product innovation and most importantly at-scale deployment and usage that we’re seeing.",claim,claim
"We are paying some tariffs today as you know, some that went into effect pre-September, and some others that went into effect in September.",claim,premise
"And so as a result, as we reduce inventories of these newest products, the overall ASPs for iPhone in Q2 will naturally decline sequentially by a higher percentage than we have experienced historically.",claim,claim
"Any change of the ability for us and our advertisers to use data can impact our optimization potential at the margin, which could impact our ability to drive price improvements in the long run.",premise,claim
We're open to other forms of things being useful.,premise,claim
So we like what we see with that connection and we also have pop-up stores that you may see and also college pick-up points.,claim,claim
"In terms of our marketer segments from brands to direct response to SMBs to developers, the growth is really strong there as well.",claim,premise
And so there's various time schedules there.,claim,premise
And we see all of those continuing to be factors for growth going forward.,premise,claim
I think Stories is another example of this.,premise,claim
It's not just about EA attach although it absolutely can be one of the motions.,claim,claim
We continue to see the annuity growth.,premise,claim
"In addition, we've done a lot of hard engineering work I believe over the past six quarters to be able to take advantage of more utilization and capacity over time and I'll let Satya maybe add a little bit technically.",premise,claim
"So main goal here is that it will allow customers to have the broadest selection, the best available price and also the most convenient options on how they receive the item.",claim,claim
We also get incredible feedback on the iPhone 7.,claim,claim
"Another area where I'm really excited about this is our ability to keep the community safe, right?",claim,claim
"If you look at the upgrade rate, it's similar to last year.",premise,claim
"But again, not material in the aggregate.",claim,claim
I want to make this simple and unfortunately it's just slightly complicated.,claim,claim
We think there is a big opportunity over the long run here,claim,claim
"So we’re going to do that though, with great discipline, and that’s what I think you’ve seen us do over the course of the last year, and we’ll continue to exhibit that.",claim,claim
"What it does is really provide confidence to our committed customers buying on-prem servers that their transition to a hybrid, to cloud over a period of their agreement, is really about their choices, their timelines and their confidence.",premise,claim
So we just see that there is a lot of upside there.,claim,claim
"We are -- whether they go to the store, the Whole Foods Market store, whether they use Prime Now or Amazon delivery for their groceries.",premise,premise
so that's really exciting.,claim,claim
"And, of course, there are other messaging products in the world besides these as well.",premise,premise
and the format is pretty exciting from a sales point of view,claim,claim
"So that's a really good example of how you can take targeting and the ability to target across Audience Network, Facebook and Instagram and drive people all the way down the funnel.",claim,claim
"We do have the WhatsApp Business app, which is helping businesses connect with consumers, and that's growing well but that monetization opportunity is not available.",premise,claim
"It is actually impacted by the same thing that impacted free cash flow this quarter, which is about a $1.3 billion on settled cash settlement impact.",claim,premise
What really matters is you see an ad and you buy a product.,premise,claim
"Our revenue exceeded in terms of growth, our growth in operating expenses.",premise,claim
"When you look at our current product portfolio, it is much broader than it used to be.",claim,claim
I’ve never seen one that is anywhere close to being accurate.,premise,claim
And so that's our strategy there.,claim,claim
"The customer response from people that have gotten theirs over the weekend have been overwhelmingly positive, and we’re far ahead of where we expected to be from an application point of view.",premise,claim
We think that comparison bodes very well for our growth.,claim,claim
"And so while we have a comparability issue that will show itself most directly as weakness in commercial licensing and most specifically as weakness in Office transactional licensing which will be a headwind, the overall goal of continuing to have more customers every quarter move to the cloud or whether or not they move, adding cloud services even if they have on prem",claim,claim
"So we needed to figure out a way so that video can grow, but people can also keep on interacting doing what they tell us that they uniquely want from Facebook.",claim,claim
"On Amazon Web Services margin, again, this is primarily due to efficiencies gained on our infrastructure, better utilization, better cost out.",claim,claim
"So understanding photos, what's in photos, what's in videos, what people are doing.",premise,premise
We're continuing to be very excited about the opportunities we have to innovate with the Whole Foods and Amazon teams together.,claim,claim
And so there's an enormous upgrade cycle there for people that are still running on 3G handsets.,claim,claim
There's a lot of movement of tech head count.,claim,claim
"So, to give that some perspective, the Amazon-fulfilled network, or the combination of retail and FBA shipments coming out of our warehouses has been nearly 40%.",premise,premise
because it's viewed as a category that drives growth.,premise,premise
We improved as we thought we would from the previous quarters a little more than I thought we would.,claim,claim
It’s the same thing that I would say at least in the last couple of years clearly have played out.,premise,claim
One of those is through Apple TV and you're well familiar with that product.,premise,premise
"We continue to focus on improving the gross margin of each individual product area, which creates leverage over time.",claim,claim
You're not going to send a lot of things people don't want to see if you're paying for them.,premise,claim
And so that is something that we need to work through every time we launch a new product and we have a pretty good track record and history of taking those cost structures down over time.,claim,premise
"There a few of us who are at scale in public cloud who are very competitive, and anybody who decides to be multi-cloud, public cloud, those are the winners.",premise,claim
"It is very, very important I think for investors to understand that what's happened during the last two years",claim,claim
"And so you can see the iPhone, the Mac, and the App Store adding, and with the iPad in PRC, not in Greater China, but in the PRC, iPad had its best quarter ever, higher than all the others, and also grew in a market that contracted for the overall market.",claim,claim
"And we're learning, we're improving, and we're pushing forward on that front.",premise,claim
"As that business continues to grow, it'll get less of that impact.",claim,claim
"But both did incredibly well, and we’re really proud of them, along with the iPhone 5S and 5C as well, which continues to in the lineup.",claim,claim
"I do think that the sort of the macro things that I spoke about earlier, the upgrade programs, the Android Switcher rate, the iPhone momentum in the emerging markets and the LTE penetration in these markets these trends are not one quarter things.",premise,claim
"We mentioned simply one that didn’t exist I think Brendan when we first started having this conversation, which was our EMS suite and I look and say, those opportunities as well as the creativity of our people I think gives me more confidence if not less in the structural integrity of the lifetime value of a customer argument.",claim,claim
"One that is very, very important for us is the fact that the App Store, which is the largest of our Services categories, is seeing an increasingly larger amount of paying accounts.",premise,claim
"And of course, as I’ve said before, we’ve never worried about that.",claim,claim
So I think that this is going to be a really big opportunity.,claim,claim
"If not the best, we are continually driving up efficiency and lowering costs and we see that in our bottom line.",claim,claim
We're in this for the long haul.,claim,claim
A perfect example would be an Apple Care agreement that you purchase at the time of the sale of the device.,premise,claim
And we're trying to make a different experience than what you might be able to get on YouTube or any of these other services by making it more about connecting with people in different ways.,claim,claim
"But in terms of the business, the more important piece is how people can interact with businesses through Messenger.",claim,claim
"And I think we, as many other companies, are really trying to absorb what this all means.",claim,premise
"On your comment, I assume you meant vendors not merchants, but on the move from 1P to 3P, but no there shouldn't be -- I can't highlight anything related shifting in channel there, but I would say that we remain in different on whether -- we're focused on price convenience and selection for our customers.",claim,claim
"But we do have opportunities we think to increase effective ad load on Stories, where Instagram Feed and Facebook Feed are – we think the opportunities are much more limited to increase ad load going forward",claim,claim
We continue to innovate on the products to make them more effective and make this a great gateway for businesses to come onto Facebook and come into mobile and spend.,claim,claim
So that then in turn results in a better and stronger overall OEM PC commercial market.,premise,claim
"And so while we feel great about continuing to add seats at that type of rate, converting and adding net new into our install base, you will see that growth rate come down just because the business is getting quite big.",premise,claim
It's still in early days.,claim,premise
So all of those will play into the potential deceleration of revenue growth in 2020.,claim,claim
"So, we are looking at a 400 basis point impact from foreign exchange for the March quarter.",claim,claim
